date,open,high,low,close,volume
2017-01-03,98.89,99.39,98.03,99.36,1412571
2017-01-04,99.43,103.43,99.13,102.51,2490738
2017-01-05,102.29,105.32,101.77,105.24,2819820
2017-01-06,104.89,105.23,103.69,104.04,1262269
2017-01-09,103.62,103.87,102.02,102.8,1494302
2017-01-10,103.01,103.28,101.97,102.36,1230003
2017-01-11,102.17,103.29,101.95,102.2,935637
2017-01-12,102.04,103.21,101.57,102.5,1058513
2017-01-13,102.24,102.94,102.09,102.29,718719
2017-01-17,102.89,103.77,102.5,103.34,1412970
2017-01-18,102.94,105.0,102.85,104.63,1854497
2017-01-19,103.78,104.9,103.1,104.75,983080
2017-01-20,105.1,106.4,105.07,105.8,1526804
2017-01-23,105.7,106.39,105.52,106.05,990314
2017-01-24,106.09,107.72,105.77,107.35,1175640
2017-01-25,107.3,108.0,106.5,107.39,1302409
2017-01-26,107.59,108.35,107.0,107.57,1296008
2017-01-27,107.76,107.8,105.93,106.43,849420
2017-01-30,106.54,106.54,105.76,106.42,774036
2017-01-31,106.59,108.07,106.59,107.63,1303893
2017-02-01,107.47,107.76,106.22,106.4,1019948
2017-02-02,106.7,107.5,106.22,106.87,955690
2017-02-03,107.72,109.0,107.39,107.75,964114
2017-02-06,107.37,107.61,105.54,106.89,1446509
2017-02-07,107.01,107.81,106.58,107.14,663193
2017-02-08,107.27,108.54,106.63,107.75,868094
2017-02-09,107.82,108.18,106.66,107.77,712825
2017-02-10,107.72,108.08,106.18,107.2,1801630
2017-02-13,107.65,107.97,107.0,107.24,1115861
2017-02-14,107.2,107.2,105.0,105.3,1837548
2017-02-15,104.86,104.86,103.44,104.43,2573495
2017-02-16,104.74,105.59,102.82,103.14,2274243
2017-02-17,105.07,106.0,101.7,104.15,2336762
2017-02-21,104.15,104.97,103.88,104.72,1520183
2017-02-22,104.61,105.8,103.23,103.7,1317301
2017-02-23,104.1,106.07,103.54,105.83,1299476
2017-02-24,105.97,108.41,105.55,107.83,1403747
2017-02-27,108.03,108.44,107.46,107.61,670981
2017-02-28,107.63,108.43,106.87,108.0,1348625
2017-03-01,107.43,108.55,106.27,108.04,1229503
2017-03-02,107.99,108.63,106.44,107.36,908261
2017-03-03,107.18,108.54,106.66,108.33,798944
2017-03-06,108.0,108.16,106.94,107.7,667304
2017-03-07,107.25,108.22,106.85,107.48,642108
2017-03-08,107.21,107.21,104.29,104.38,1769872
2017-03-09,104.31,104.95,103.24,103.98,1427956
2017-03-10,104.79,105.88,103.39,103.9,870925
2017-03-13,103.33,103.49,101.85,103.16,1121453
2017-03-14,103.15,103.16,102.11,102.4,862327
2017-03-15,103.0,104.77,103.0,104.51,2187948
2017-03-16,104.4,104.85,102.95,103.41,1158100
2017-03-17,103.6,104.28,102.88,102.89,1790746
2017-03-20,102.95,104.38,102.94,103.73,1261882
2017-03-21,104.11,105.0,103.35,103.46,885282
2017-03-22,104.1,104.88,103.45,104.63,970642
